Template Key,Lane,Communication Event,Lifecycle Stage,Scenario,Default Channel Type,Post Mode,Text
critical-bug-identified,Incident / Bug,Critical bug identified,Investigating,Critical Bug,Incident,New Thread,"*Critical Bug Identified*: {{Project}}\n*What*: {{What}}\n*So What*: {{So What}}\n*What's Next*: {{What's Next}}\n*Owner*: {{Owner}}"
project-unexpected-status-change,Project,Unexpected status change,Execution,Project Risk,Project,New Thread,"*Project Status Change*: {{Project}}\n*Stage*: {{Lifecycle Stage}}\n*What*: {{What}}\n*So What*: {{So What}}\n*What's Next*: {{What's Next}}\n*Owner*: {{Owner}}"
release-execution,Production Release,Release started,Release,Release Execution,Release,New Thread,"*Release Update*: {{Project}}\n*What*: {{What}}\n*So What*: {{So What}}\n*What's Next*: {{What's Next}}"
stray-story-disposition,Stray Story,Disposition changed,Prioritization,Stray Story,Project,New Thread,"*Stray Story Update*: {{Project}}\n*Disposition*: {{Destination}}\n*Reason*: {{Reason}}\n*What's Next*: {{What's Next}}"

